category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,age_group,return_probability,risk_score,risk_level
Beauty,50.75,0,2,Credit Card,13-02-2025,20-02-2025,West,0,101.5,6.46,39.22,46,Female,7,46-60,0.398696293,39.87,Medium
Beauty,13.11,0.15,1,Credit Card,17-08-2024,23-08-2024,West,0,11.14,4.4,0.61,51,Female,6,46-60,0.416197438,41.62,Medium
Home,297.65,0.1,1,UPI,09-12-2023,13-12-2023,South,0,267.88,7.49,67.52,20,Female,4,18-25,0.447788441,44.78,Medium
Grocery,6.2,0,1,COD,31-03-2024,04-04-2024,West,0,6.2,2.5,-2,35,Male,4,26-35,0.117524817,11.75,Low
Home,36.05,0,2,COD,03-02-2025,07-02-2025,North,0,72.1,7.24,12.95,36,Female,4,36-45,0.411270725,41.13,Medium
Fashion,47.26,0.15,1,UPI,31-10-2023,05-11-2023,South,0,40.17,4.94,9.12,48,Male,5,46-60,0.479373847,47.94,Medium
Electronics,313.25,0,1,Debit Card,27-09-2024,05-10-2024,Central,0,313.25,8.96,28.63,53,Male,8,46-60,0.50201125,50.2,High
Grocery,13.7,0.1,3,COD,11-04-2025,15-04-2025,West,0,36.99,4.09,-1.13,62,Male,4,60+,0.138033739,13.8,Low
Toys,9.07,0,3,Debit Card,11-01-2024,16-01-2024,South,0,27.21,6.05,4.83,30,Female,5,26-35,0.456877638,45.69,Medium
Beauty,12.45,0,2,Credit Card,03-05-2025,08-05-2025,West,0,24.9,5.18,6.02,58,Male,5,46-60,0.415383439,41.54,Medium
Toys,7.33,0,1,Credit Card,19-03-2025,24-03-2025,North,0,7.33,3.86,-0.93,55,Female,5,46-60,0.33162566,33.16,Low
Toys,53.85,0.05,1,Credit Card,12-03-2025,17-03-2025,South,0,51.16,5.96,14.5,35,Female,5,26-35,0.448701066,44.87,Medium
Grocery,16.12,0,1,COD,14-07-2025,22-07-2025,East,0,16.12,4.76,-3.47,66,Female,8,60+,0.025165466,2.52,Low
Home,195.87,0,4,Credit Card,31-12-2024,05-01-2025,West,0,783.48,10.37,209,43,Female,5,36-45,0.393453317,39.35,Medium
Beauty,8.29,0,1,PayPal,16-09-2024,20-09-2024,North,0,8.29,2.98,0.75,67,Male,4,60+,0.361638009,36.16,Low
Electronics,402.13,0,2,PayPal,24-01-2024,29-01-2024,South,0,804.26,9.93,86.58,40,Female,5,36-45,0.537551088,53.76,High
Grocery,19.94,0.05,1,Debit Card,29-12-2023,04-01-2024,East,0,18.94,4.96,-3.44,55,Female,6,46-60,0.069410848,6.94,Low
Grocery,6.52,0,2,Debit Card,23-11-2023,28-11-2023,South,0,13.04,4.73,-3.69,60,Male,5,46-60,0.075999213,7.6,Low
Toys,5.38,0.1,1,COD,18-12-2023,21-12-2023,Central,0,4.84,3.91,-1.97,57,Female,3,46-60,0.266467662,26.65,Low
Home,167.21,0,4,Wallet,06-12-2023,09-12-2023,North,0,668.84,8.88,178.4,37,Female,3,36-45,0.36207322,36.21,Medium
Home,134.37,0.15,1,Wallet,30-10-2024,02-11-2024,Central,0,114.21,6.65,25.33,53,Male,3,46-60,0.475145097,47.51,Medium
Home,122.85,0,3,COD,16-08-2024,20-08-2024,North,0,368.55,7.27,95.92,69,Female,4,60+,0.417029954,41.7,Medium
Fashion,14.91,0,1,UPI,01-12-2024,06-12-2024,West,0,14.91,4.93,0.29,69,Male,5,60+,0.510460575,51.05,High
Beauty,10.46,0,1,Credit Card,13-11-2023,17-11-2023,North,0,10.46,3.14,1.57,25,Other,4,18-25,0.371457467,37.15,Medium
Electronics,368.67,0,1,Debit Card,26-06-2024,02-07-2024,West,0,368.67,9.91,34.33,36,Male,6,36-45,0.552236855,55.22,High
Grocery,13.52,0.1,1,Debit Card,24-06-2025,29-06-2025,West,0,12.17,2.07,-1.1,22,Female,5,18-25,0.07403306,7.4,Low
Home,116.53,0.05,1,Credit Card,22-01-2024,26-01-2024,West,0,110.7,6.97,24.03,59,Male,4,46-60,0.495553873,49.56,Medium
Grocery,20.24,0,1,COD,23-06-2025,28-06-2025,North,0,20.24,4.74,-3.12,65,Male,5,60+,0.042963859,4.3,Low
Sports,175.75,0.15,1,Debit Card,03-09-2025,08-09-2025,West,0,149.39,6.15,38.67,58,Female,5,46-60,0.369527833,36.95,Medium
Fashion,20.91,0,1,UPI,14-02-2024,18-02-2024,North,1,20.91,4.04,3.28,50,Male,4,46-60,0.614387408,61.44,High
Fashion,13.43,0,4,PayPal,15-12-2023,19-12-2023,South,0,53.72,6.26,12.54,30,Male,4,26-35,0.496311614,49.63,Medium
Grocery,3.96,0.2,1,PayPal,22-11-2023,27-11-2023,East,0,3.17,3.06,-2.81,44,Female,5,36-45,0.08589945,8.59,Low
Toys,8.5,0,2,Debit Card,30-05-2024,07-06-2024,South,0,17,3.51,3.29,25,Female,8,18-25,0.379396354,37.94,Medium
Fashion,150.12,0,3,Debit Card,18-10-2024,22-10-2024,West,0,450.36,8.26,149.37,28,Female,4,26-35,0.424185453,42.42,Medium
Electronics,97.95,0.1,1,Debit Card,21-09-2024,27-09-2024,East,0,88.16,6.72,3.86,53,Male,6,46-60,0.498893099,49.89,Medium
Sports,217.48,0,1,Credit Card,24-02-2025,02-03-2025,South,0,217.48,7.67,57.57,24,Male,6,18-25,0.46363436,46.36,Medium
Fashion,16.18,0,2,Credit Card,06-12-2024,10-12-2024,South,0,32.36,4.73,6.6,69,Male,4,60+,0.531844041,53.18,High
Fashion,26.06,0.05,3,COD,21-12-2023,26-12-2023,West,0,74.27,6.24,19.75,46,Other,5,46-60,0.539658724,53.97,High
Sports,23.23,0.3,2,Credit Card,13-02-2025,17-02-2025,Central,0,32.52,5.1,4.66,31,Male,4,26-35,0.274667746,27.47,Low
Sports,20.73,0,2,COD,14-05-2024,19-05-2024,West,0,41.46,4.31,8.13,20,Female,5,18-25,0.406414054,40.64,Medium
Home,23.16,0,1,UPI,20-12-2023,23-12-2023,Central,0,23.16,4.81,1.67,45,Male,3,36-45,0.409732604,40.97,Medium
Grocery,6.53,0,4,Credit Card,28-06-2024,01-07-2024,North,0,26.12,6.21,-4.12,68,Male,3,60+,0.093393112,9.34,Low
Sports,82.93,0.05,1,Wallet,13-03-2024,17-03-2024,West,0,78.78,8.3,15.33,59,Female,4,46-60,0.471975923,47.2,Medium
Grocery,3.95,0,1,Wallet,23-01-2025,27-01-2025,West,0,3.95,2.63,-2.31,38,Female,4,36-45,0.137087785,13.71,Low
Fashion,137.66,0,1,UPI,20-04-2025,24-04-2025,South,0,137.66,7.01,41.17,50,Female,4,46-60,0.567299847,56.73,High
Fashion,48.41,0.1,4,Credit Card,23-09-2023,29-09-2023,West,0,174.28,8.27,52.73,29,Female,6,26-35,0.379271034,37.93,Medium
Electronics,753.1,0.05,1,Debit Card,08-06-2024,12-06-2024,South,0,715.44,10.44,75.41,28,Male,4,26-35,0.63372847,63.37,High
Fashion,12.92,0,3,Wallet,04-08-2025,08-08-2025,South,0,38.76,6.83,6.74,20,Female,4,18-25,0.512346031,51.23,High
Grocery,3.04,0,1,Debit Card,12-06-2024,16-06-2024,South,0,3.04,1.93,-1.69,59,Female,4,46-60,0.044921499,4.49,Low
Grocery,25.7,0.1,4,Credit Card,18-06-2024,21-06-2024,North,0,92.52,9.09,-1.69,32,Male,3,26-35,0.191891003,19.19,Low
Toys,18.51,0.05,1,PayPal,20-12-2023,25-12-2023,South,0,17.58,3.71,3.32,62,Female,5,60+,0.459598806,45.96,Medium
Beauty,71.36,0.15,1,Debit Card,05-07-2024,12-07-2024,South,0,60.66,5.34,21.96,34,Male,7,26-35,0.397784717,39.78,Medium
Toys,5.12,0,1,UPI,09-02-2025,15-02-2025,West,0,5.12,1.8,0.25,59,Female,6,46-60,0.29809572,29.81,Low
Beauty,3.65,0,1,UPI,08-07-2024,12-07-2024,South,0,3.65,1.97,-0.33,54,Female,4,46-60,0.314594272,31.46,Low
Electronics,857.18,0,3,COD,10-08-2024,14-08-2024,West,0,2571.54,12.41,296.17,61,Female,4,60+,0.359045671,35.9,Low
Home,168.01,0.05,2,Debit Card,20-01-2024,26-01-2024,East,0,319.22,7.51,81.87,57,Male,6,46-60,0.516813635,51.68,High
Beauty,43.33,0,3,Debit Card,02-07-2025,06-07-2025,Central,0,129.99,6.28,52.22,53,Female,4,46-60,0.394664503,39.47,Medium
Fashion,22.26,0,1,Wallet,22-02-2025,01-03-2025,East,0,22.26,3.96,3.83,27,Male,7,26-35,0.572215766,57.22,High
Fashion,5.15,0.05,1,Credit Card,12-09-2023,17-09-2023,East,0,4.89,3.77,-2.06,36,Male,5,36-45,0.228978465,22.9,Low
Fashion,37.42,0.1,5,COD,26-09-2024,29-09-2024,Central,0,168.39,8.25,50.69,29,Male,3,26-35,0.355891804,35.59,Low
Beauty,115.85,0.15,1,Debit Card,02-05-2025,07-05-2025,West,0,98.47,6.58,37.73,40,Female,5,36-45,0.44425878,44.43,Medium
Electronics,823.81,0,1,COD,08-05-2025,12-05-2025,South,0,823.81,8.88,89.98,32,Female,4,26-35,0.487111134,48.71,Medium
Sports,17.35,0.1,1,Debit Card,25-02-2025,02-03-2025,West,1,15.62,4.69,0,41,Male,5,36-45,0.524764354,52.48,High
Home,37.39,0.2,1,Credit Card,04-02-2025,09-02-2025,North,0,29.91,3.68,4.69,49,Male,5,46-60,0.33531275,33.53,Low
Fashion,23.33,0,5,Credit Card,02-05-2025,07-05-2025,Central,0,116.65,7.12,33.71,38,Male,5,36-45,0.464120687,46.41,Medium
Toys,36.89,0.15,1,Credit Card,29-11-2024,05-12-2024,East,0,31.36,3.99,8.55,47,Female,6,46-60,0.408261639,40.83,Medium
Home,239.28,0.2,1,Credit Card,14-11-2024,18-11-2024,South,0,191.42,8.6,45,69,Male,4,60+,0.425189965,42.52,Medium
Home,36.94,0,1,COD,23-10-2023,30-10-2023,South,0,36.94,5.01,5.33,49,Male,7,46-60,0.438320805,43.83,Medium
Toys,16.98,0,2,Credit Card,21-11-2024,25-11-2024,North,0,33.96,4.16,9.42,19,Male,4,18-25,0.363517984,36.35,Medium
Home,101.74,0,2,Wallet,08-06-2024,14-06-2024,East,0,203.48,7.89,49.08,54,Female,6,46-60,0.509728677,50.97,High
Toys,12.52,0.2,1,Credit Card,11-07-2024,14-07-2024,North,0,10.02,2.22,1.79,51,Male,3,46-60,0.33061787,33.06,Low
Home,111.08,0,1,Debit Card,06-08-2024,11-08-2024,North,0,111.08,7.66,23.44,39,Male,5,36-45,0.452384387,45.24,Medium
Fashion,22.03,0.05,3,COD,23-12-2023,31-12-2023,East,0,62.79,5.86,16.12,50,Female,8,46-60,0.39844137,39.84,Medium
Beauty,21.58,0.05,3,UPI,04-12-2023,07-12-2023,North,0,61.5,5.64,22.04,60,Male,3,46-60,0.357211849,35.72,Low
Fashion,61.89,0.05,1,COD,21-01-2025,25-01-2025,South,0,58.8,7.65,12.93,28,Male,4,26-35,0.528833663,52.88,High
Electronics,70.98,0,2,UPI,08-08-2025,12-08-2025,West,0,141.96,6.85,10.19,46,Female,4,46-60,0.463828631,46.38,Medium
Electronics,1161.68,0,1,Credit Card,29-10-2024,02-11-2024,South,0,1161.68,7.91,131.49,69,Female,4,60+,0.408247326,40.82,Medium
Fashion,13.88,0,1,Debit Card,07-05-2025,11-05-2025,South,0,13.88,5.31,-0.45,63,Male,4,60+,0.506037383,50.6,High
Sports,53.93,0,1,Debit Card,03-06-2025,08-06-2025,North,0,53.93,5.21,10.97,57,Female,5,46-60,0.387036537,38.7,Medium
Toys,14.51,0,1,Credit Card,04-08-2025,09-08-2025,East,0,14.51,4.15,1.65,48,Male,5,46-60,0.434371687,43.44,Medium
Toys,2.82,0.2,3,Credit Card,06-05-2025,11-05-2025,West,0,6.77,3.43,-0.72,24,Other,5,18-25,0.20374544,20.37,Low
Fashion,44.08,0.05,4,Wallet,12-11-2023,20-11-2023,Central,0,167.5,7.43,51.19,36,Female,8,36-45,0.395865284,39.59,Medium
Sports,210.6,0.1,1,Credit Card,15-09-2023,19-09-2023,South,0,189.54,9.21,47.65,66,Female,4,60+,0.456100211,45.61,Medium
Fashion,118.71,0,1,COD,04-02-2025,07-02-2025,North,0,118.71,6.57,34.98,61,Female,3,60+,0.562499711,56.25,High
Beauty,12.67,0,2,PayPal,20-01-2025,26-01-2025,South,0,25.34,3.95,7.45,42,Male,6,36-45,0.427441105,42.74,Medium
Grocery,11.77,0.2,1,COD,06-04-2025,13-04-2025,East,0,9.42,1,-0.25,48,Female,7,46-60,0.087883777,8.79,Low
Electronics,537.39,0.15,1,PayPal,16-02-2024,20-02-2024,Central,1,456.78,9.4,45.41,28,Female,4,26-35,0.604527888,60.45,High
Grocery,4.84,0,1,COD,18-11-2023,24-11-2023,South,0,4.84,1.46,-1.07,33,Female,6,26-35,0.04952223,4.95,Low
Toys,16.78,0,2,Credit Card,02-10-2024,06-10-2024,South,1,33.56,5.18,8.24,34,Female,4,26-35,0.482298704,48.23,Medium
Toys,10.98,0,1,Debit Card,30-01-2025,04-02-2025,South,0,10.98,1.74,2.65,23,Female,5,18-25,0.331988347,33.2,Low
Sports,56.72,0,2,COD,26-02-2024,03-03-2024,East,0,113.44,8.53,25.5,38,Male,6,36-45,0.444215234,44.42,Medium
Toys,3.94,0.05,1,Credit Card,09-06-2025,14-06-2025,Central,0,3.74,1.52,-0.02,62,Male,5,60+,0.171529143,17.15,Low
Grocery,7.88,0.2,1,Credit Card,12-02-2025,19-02-2025,South,0,6.3,2.16,-1.66,27,Female,7,26-35,0.044269504,4.43,Low
Toys,5.45,0,3,Wallet,02-09-2025,06-09-2025,South,0,16.35,4.57,1.97,25,Female,4,18-25,0.387275012,38.73,Medium
Fashion,22.63,0.1,1,Credit Card,06-06-2024,13-06-2024,East,0,20.37,3.95,3.18,65,Male,7,60+,0.480279779,48.03,Medium
Beauty,12.82,0,1,Credit Card,16-04-2024,20-04-2024,Central,0,12.82,3.74,2.03,18,Male,4,18-25,0.384306198,38.43,Medium
Fashion,32.69,0.15,1,UPI,16-07-2024,22-07-2024,South,0,27.79,7.19,2.54,21,Male,6,18-25,0.494799305,49.48,Medium
Grocery,33.76,0,2,UPI,26-07-2024,01-08-2024,South,0,67.52,5.44,-0.04,41,Female,6,36-45,0.14594058,14.59,Low
Grocery,14.13,0,2,COD,13-05-2025,18-05-2025,Central,0,28.26,5.99,-3.73,58,Female,5,46-60,0.027312499,2.73,Low
Beauty,92.86,0,1,Credit Card,03-04-2025,08-04-2025,South,0,92.86,7.23,34.56,51,Female,5,46-60,0.509196106,50.92,High
Toys,19.57,0.05,1,PayPal,06-08-2024,12-08-2024,South,0,18.59,5.17,2.27,40,Male,6,36-45,0.453454048,45.35,Medium
Grocery,22.56,0.05,1,Debit Card,21-11-2023,24-11-2023,North,0,21.43,5.71,-4,43,Female,3,36-45,0.081391833,8.14,Low
Fashion,93.34,0.05,2,UPI,05-03-2024,10-03-2024,Central,0,177.35,6.54,55.53,46,Female,5,46-60,0.484216027,48.42,Medium
Beauty,35.91,0.1,1,Debit Card,19-12-2023,24-12-2023,North,0,32.32,5.16,9.38,49,Female,5,46-60,0.452187753,45.22,Medium
Home,155.94,0,1,PayPal,27-09-2023,01-10-2023,Central,0,155.94,7.4,36.26,43,Female,4,36-45,0.528293985,52.83,High
Toys,12.64,0.1,2,PayPal,13-02-2025,20-02-2025,North,0,22.75,4.33,4.77,52,Female,7,46-60,0.430850566,43.09,Medium
Home,120.29,0,1,COD,24-02-2024,29-02-2024,West,0,120.29,7.36,26.32,31,Male,5,26-35,0.478329322,47.83,Medium
Sports,31.17,0.1,1,COD,06-06-2024,10-06-2024,West,0,28.05,6.92,1.49,38,Female,4,36-45,0.387228151,38.72,Medium
Home,136.79,0.1,1,Credit Card,11-12-2023,15-12-2023,West,0,123.11,6.32,28.15,37,Female,4,36-45,0.407980252,40.8,Medium
Electronics,284.7,0,1,Wallet,16-10-2024,22-10-2024,North,0,284.7,9.1,25.06,50,Female,6,46-60,0.533440371,53.34,High
Electronics,580.17,0,2,Debit Card,20-02-2025,24-02-2025,West,0,1160.34,9.05,130.19,36,Female,4,36-45,0.492586156,49.26,Medium
Electronics,806.71,0,4,UPI,19-12-2023,25-12-2023,East,0,3226.84,11.85,375.37,19,Female,6,18-25,0.346693655,34.67,Low
Electronics,96.31,0,4,UPI,04-12-2024,11-12-2024,East,0,385.24,9.61,36.62,38,Female,7,36-45,0.47578724,47.58,Medium
Beauty,31.77,0,5,COD,11-07-2025,16-07-2025,South,0,158.85,7.94,63.54,19,Female,5,18-25,0.377812664,37.78,Medium
Sports,304.67,0,2,UPI,05-07-2025,10-07-2025,South,0,609.34,9.29,173.51,58,Female,5,46-60,0.434126239,43.41,Medium
Electronics,862.36,0,1,PayPal,02-01-2024,05-01-2024,North,0,862.36,10.06,93.42,31,Female,3,26-35,0.497812218,49.78,Medium
Beauty,47.06,0.05,1,Debit Card,17-03-2024,20-03-2024,Central,0,44.71,5.76,14.36,24,Male,3,18-25,0.447544044,44.75,Medium
Beauty,4.21,0,1,COD,04-12-2024,07-12-2024,North,0,4.21,2.28,-0.39,25,Female,3,18-25,0.271561369,27.16,Low
Electronics,144.57,0,2,Debit Card,14-11-2024,17-11-2024,North,0,289.14,8.7,26,63,Male,3,60+,0.487781677,48.78,Medium
Home,31.13,0,1,Credit Card,18-09-2023,21-09-2023,North,0,31.13,3.29,5.43,28,Male,3,26-35,0.374514505,37.45,Medium
Sports,267.28,0.2,1,PayPal,28-02-2025,04-03-2025,Central,0,213.82,7.25,56.9,52,Male,4,46-60,0.422064148,42.21,Medium
Electronics,499.11,0.05,1,Credit Card,14-07-2025,18-07-2025,Central,0,474.15,8.66,48.24,45,Male,4,36-45,0.597608391,59.76,High
Electronics,296.62,0.2,2,Wallet,27-02-2024,02-03-2024,North,0,474.59,8.71,48.24,36,Female,4,36-45,0.482678906,48.27,Medium
Grocery,52.12,0,1,COD,09-07-2025,13-07-2025,South,0,52.12,6.56,-2.39,50,Female,4,46-60,0.023104951,2.31,Low
Sports,31.3,0,1,Credit Card,01-01-2024,05-01-2024,West,0,31.3,4.71,4.68,32,Male,4,26-35,0.360231741,36.02,Low
Home,145.09,0.1,1,Debit Card,10-11-2024,13-11-2024,Central,0,130.58,8.51,28.05,38,Male,3,36-45,0.5331008,53.31,High
Beauty,26.03,0,1,Debit Card,08-04-2024,12-04-2024,West,0,26.03,7.52,4.19,44,Male,4,36-45,0.439172735,43.92,Medium
Toys,10.19,0.2,1,Credit Card,12-02-2024,18-02-2024,West,0,8.15,3.7,-0.44,21,Male,6,18-25,0.334752437,33.48,Low
Toys,15.07,0,3,UPI,09-09-2024,12-09-2024,Central,0,45.21,6.94,11.14,26,Male,3,26-35,0.329085348,32.91,Low
Fashion,18.2,0.05,2,PayPal,26-04-2025,02-05-2025,West,0,34.58,5.84,6.26,22,Female,6,18-25,0.542103716,54.21,High
Home,158.84,0.1,1,Credit Card,15-10-2023,19-10-2023,West,0,142.96,6.88,33.15,67,Female,4,60+,0.525352924,52.54,High
Beauty,16.27,0,2,Debit Card,18-07-2025,23-07-2025,South,0,32.54,4.52,10.12,39,Female,5,36-45,0.416991099,41.7,Medium
Electronics,57.75,0,1,UPI,09-04-2024,15-04-2024,West,0,57.75,6.46,0.47,24,Male,6,18-25,0.370531847,37.05,Medium
Grocery,40.65,0,1,PayPal,03-09-2025,06-09-2025,Central,0,40.65,4.89,-1.64,42,Female,3,36-45,0.021609592,2.16,Low
Home,101.64,0.05,2,Wallet,10-09-2024,16-09-2024,East,0,193.12,8.34,45.73,51,Female,6,46-60,0.522884628,52.29,High
Home,171.02,0,1,UPI,27-07-2025,30-07-2025,Central,0,171.02,8.52,39.37,43,Male,3,36-45,0.508966627,50.9,High
Grocery,3.89,0.05,2,UPI,09-08-2024,13-08-2024,Central,0,7.39,4.18,-3.59,55,Female,4,46-60,0.178116741,17.81,Low
Electronics,94.23,0,2,Debit Card,27-09-2023,03-10-2023,East,0,188.46,6.66,15.96,20,Male,6,18-25,0.47280285,47.28,Medium
Electronics,806.31,0.1,3,Credit Card,06-09-2025,12-09-2025,South,0,2177.04,9.81,251.43,45,Male,6,36-45,0.517040067,51.7,High
Sports,97.9,0.05,1,UPI,31-07-2025,03-08-2025,North,0,93,7.45,20.45,50,Female,3,46-60,0.502057448,50.21,High
Home,99.52,0,1,UPI,02-02-2024,09-02-2024,West,0,99.52,8.19,19.68,50,Male,7,46-60,0.486592378,48.66,Medium
Toys,16.48,0,1,UPI,28-12-2023,05-01-2024,East,0,16.48,3.97,2.62,54,Female,8,46-60,0.415874441,41.59,Medium
Electronics,137.57,0,1,Wallet,05-04-2025,10-04-2025,West,0,137.57,8.34,8.17,39,Female,5,36-45,0.491504496,49.15,Medium
Home,331.04,0,1,Credit Card,03-02-2024,07-02-2024,North,0,331.04,6.99,85.7,34,Female,4,26-35,0.435612886,43.56,Medium
Fashion,16.85,0,2,PayPal,05-11-2024,11-11-2024,West,0,33.7,3.4,8.4,67,Female,6,60+,0.556940424,55.69,High
Sports,26.91,0,1,Debit Card,13-11-2024,17-11-2024,North,0,26.91,2.99,5.08,37,Female,4,36-45,0.327225658,32.72,Low
Fashion,135.78,0.1,1,COD,10-11-2024,15-11-2024,East,0,122.2,8.48,34.29,45,Male,5,36-45,0.515123255,51.51,High
Home,49.21,0,1,Credit Card,08-10-2024,13-10-2024,West,0,49.21,5.29,8.49,64,Female,5,60+,0.446256872,44.63,Medium
Toys,41.02,0,2,Debit Card,24-01-2025,28-01-2025,North,0,82.04,6.87,25.95,45,Male,4,36-45,0.402004686,40.2,Medium
Grocery,20.5,0,2,COD,12-06-2024,18-06-2024,East,0,41,5.35,-2.07,40,Female,6,36-45,0.024630004,2.46,Low
Sports,57.32,0,1,Credit Card,13-03-2024,16-03-2024,Central,0,57.32,7.37,9.83,56,Female,3,46-60,0.468276612,46.83,Medium
Home,48.58,0,2,Wallet,04-11-2023,07-11-2023,North,0,97.16,7.6,19.6,46,Female,3,46-60,0.448436642,44.84,Medium
