category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,return_probability,risk_score,risk_level
Beauty,92.86,0.0,1,Credit Card,2025-04-03,2025-04-08,South,0,92.86,7.23,34.56,51,Female,5,0.5091961062716517,50.92,High
Home,155.94,0.0,1,PayPal,2023-09-27,2023-10-01,Central,0,155.94,7.4,36.26,43,Female,4,0.52829398516939,52.83,High
Electronics,284.7,0.0,1,Wallet,2024-10-16,2024-10-22,North,0,284.7,9.1,25.06,50,Female,6,0.533440370545247,53.34,High
Electronics,499.11,0.05,1,Credit Card,2025-07-14,2025-07-18,Central,0,474.15,8.66,48.24,45,Male,4,0.597608391122726,59.76,High
Home,145.09,0.1,1,Debit Card,2024-11-10,2024-11-13,Central,0,130.58,8.51,28.05,38,Male,3,0.5331007997687833,53.31,High
Fashion,18.2,0.05,2,PayPal,2025-04-26,2025-05-02,West,0,34.58,5.84,6.26,22,Female,6,0.5421037164494159,54.21,High
Home,158.84,0.1,1,Credit Card,2023-10-15,2023-10-19,West,0,142.96,6.88,33.15,67,Female,4,0.5253529235263218,52.54,High
Home,101.64,0.05,2,Wallet,2024-09-10,2024-09-16,East,0,193.12,8.34,45.73,51,Female,6,0.522884627759799,52.29,High
Home,171.02,0.0,1,UPI,2025-07-27,2025-07-30,Central,0,171.02,8.52,39.37,43,Male,3,0.5089666265520912,50.9,High
Electronics,806.31,0.1,3,Credit Card,2025-09-06,2025-09-12,South,0,2177.04,9.81,251.43,45,Male,6,0.5170400667159138,51.7,High
Sports,97.9,0.05,1,UPI,2025-07-31,2025-08-03,North,0,93.0,7.45,20.45,50,Female,3,0.5020574482170871,50.21,High
Fashion,16.85,0.0,2,PayPal,2024-11-05,2024-11-11,West,0,33.7,3.4,8.4,67,Female,6,0.556940423580207,55.69,High
Fashion,135.78,0.1,1,COD,2024-11-10,2024-11-15,East,0,122.2,8.48,34.29,45,Male,5,0.5151232546412787,51.51,High
Electronics,236.98,0.0,1,UPI,2025-08-01,2025-08-05,South,0,236.98,8.56,19.88,63,Male,4,0.5429936593656155,54.3,High
Fashion,27.49,0.0,2,UPI,2023-12-22,2023-12-28,East,0,54.98,6.08,13.16,59,Male,6,0.5772437746669076,57.72,High
Electronics,475.97,0.0,1,Credit Card,2025-01-14,2025-01-18,West,0,475.97,7.92,49.2,18,Male,4,0.5112421469173541,51.12,High
Electronics,410.13,0.0,1,Debit Card,2024-05-11,2024-05-15,North,0,410.13,8.95,40.27,48,Female,4,0.5320729468317026,53.21,High
Home,433.77,0.0,1,Credit Card,2025-06-26,2025-06-29,Central,1,433.77,7.22,114.24,43,Male,3,0.515679991525246,51.57,High
Fashion,42.68,0.05,1,Wallet,2024-03-05,2024-03-10,West,0,40.55,5.77,8.42,48,Female,5,0.532253178743087,53.23,High
Home,168.7,0.0,1,Credit Card,2025-05-19,2025-05-26,West,0,168.7,8.16,39.08,51,Female,7,0.5171380569663141,51.71,High
Fashion,33.57,0.0,1,Credit Card,2024-01-23,2024-01-27,Central,0,33.57,5.32,6.43,68,Male,4,0.5554888452018811,55.55,High
Electronics,389.04,0.0,1,COD,2024-03-29,2024-04-02,North,0,389.04,7.63,39.05,52,Male,4,0.534191577904761,53.42,High
Home,118.03,0.1,2,COD,2024-09-18,2024-09-22,South,0,212.45,9.3,50.19,46,Female,4,0.5604606033276534,56.05,High
Sports,90.56,0.05,1,Debit Card,2023-10-10,2023-10-15,West,0,86.03,7.29,18.52,35,Male,5,0.5033130557074774,50.33,High
Toys,7.6,0.05,4,Credit Card,2024-09-20,2024-09-25,South,0,28.88,6.38,5.17,64,Male,5,0.5511304671420014,55.11,High
Fashion,40.94,0.0,1,Debit Card,2025-06-17,2025-06-21,Central,0,40.94,4.6,9.73,35,Male,4,0.5514206166364324,55.14,High
Fashion,140.25,0.0,1,Wallet,2024-09-06,2024-09-11,East,1,140.25,7.55,41.54,56,Female,5,0.6187353425564688,61.87,High
Home,274.72,0.05,1,PayPal,2023-09-25,2023-09-29,North,0,260.98,9.1,63.97,24,Female,4,0.5250880467261303,52.51,High
Fashion,58.04,0.0,2,Credit Card,2025-02-09,2025-02-15,East,0,116.08,7.03,33.6,55,Female,6,0.5930649211304773,59.31,High
Electronics,413.13,0.0,1,PayPal,2024-08-30,2024-09-03,South,0,413.13,8.79,40.79,20,Female,4,0.5178511240697599,51.79,High
Electronics,309.15,0.05,1,COD,2024-02-27,2024-03-05,East,0,293.69,9.11,26.13,50,Female,7,0.5335615691543342,53.36,High
Electronics,278.95,0.15,1,Credit Card,2024-09-18,2024-09-24,East,0,237.11,6.78,21.67,39,Other,6,0.5326595200146805,53.27,High
Fashion,135.15,0.0,1,COD,2024-02-28,2024-03-06,East,0,135.15,7.76,39.54,27,Male,7,0.5072034413348674,50.72,High
Electronics,309.52,0.0,1,UPI,2024-08-15,2024-08-20,East,0,309.52,8.23,28.91,20,Female,5,0.5441771313439182,54.42,High
Fashion,119.82,0.0,1,Debit Card,2023-12-04,2023-12-10,South,1,119.82,6.39,35.55,60,Female,6,0.6109424451045204,61.09,High
Home,106.86,0.05,1,Wallet,2025-08-04,2025-08-09,South,0,101.52,7.05,21.38,55,Female,5,0.5051355388294184,50.51,High
Fashion,26.76,0.0,1,Debit Card,2024-09-13,2024-09-18,South,0,26.76,3.74,5.63,60,Male,5,0.5606346463188122,56.06,High
Home,256.47,0.1,1,Debit Card,2024-01-10,2024-01-14,Central,0,230.82,6.93,57.7,49,Male,4,0.5014582509372607,50.15,High
Electronics,165.3,0.2,1,Credit Card,2025-08-17,2025-08-22,South,1,132.24,7.31,8.56,52,Male,5,0.580661641349067,58.07,High
Electronics,264.84,0.0,3,PayPal,2024-12-18,2024-12-23,East,0,794.52,8.39,86.95,26,Female,5,0.5009485615899483,50.09,High
Electronics,168.13,0.05,3,Wallet,2023-12-02,2023-12-08,South,0,479.17,9.79,47.71,23,Male,6,0.5593418097474229,55.93,High
Fashion,22.36,0.0,2,Debit Card,2024-08-25,2024-08-29,North,0,44.72,5.92,9.73,29,Female,4,0.5920134471304069,59.2,High
Sports,234.95,0.05,1,COD,2024-08-13,2024-08-17,North,0,223.2,8.23,58.73,62,Male,4,0.5200890658496042,52.01,High
Electronics,99.55,0.1,1,UPI,2024-01-04,2024-01-08,South,0,89.6,6.83,3.92,68,Female,4,0.5184100239038022,51.84,High
Sports,145.46,0.1,1,UPI,2024-12-21,2024-12-27,East,0,130.91,9.17,30.1,23,Female,6,0.5030565188874827,50.31,High
Fashion,25.73,0.0,1,Wallet,2024-03-30,2024-04-03,Central,0,25.73,4.65,4.36,39,Male,4,0.5705988258647315,57.06,High
Electronics,189.01,0.05,2,Debit Card,2025-06-24,2025-06-27,North,0,359.12,9.09,34.0,27,Male,3,0.5190451721929213,51.9,High
Fashion,55.7,0.0,1,UPI,2024-02-11,2024-02-15,Central,0,55.7,7.37,12.12,39,Male,4,0.6004938217363153,60.05,High
Electronics,311.23,0.0,1,Credit Card,2024-11-19,2024-11-23,North,0,311.23,9.77,27.58,36,Female,4,0.5332740365836109,53.33,High
Fashion,42.33,0.0,1,Credit Card,2025-07-10,2025-07-16,East,0,42.33,5.1,9.72,34,Female,6,0.5731144267861609,57.31,High
Fashion,45.01,0.0,2,Debit Card,2025-09-07,2025-09-11,North,0,90.02,6.82,24.69,58,Male,4,0.575714099874232,57.57,High
Fashion,144.93,0.05,1,Credit Card,2024-02-14,2024-02-19,Central,1,137.68,7.41,40.78,19,Male,5,0.5831824205687447,58.32,High
Fashion,57.28,0.0,1,Credit Card,2024-08-23,2024-08-28,South,0,57.28,5.49,14.56,50,Male,5,0.5898796343676207,58.99,High
Fashion,42.63,0.0,1,Credit Card,2025-05-17,2025-05-21,North,0,42.63,5.32,9.6,58,Male,4,0.5628480914978574,56.28,High
Home,353.02,0.05,1,Debit Card,2024-08-10,2024-08-14,Central,0,335.37,8.0,85.9,35,Male,4,0.5053539858872651,50.54,High
Fashion,82.83,0.15,2,COD,2023-10-05,2023-10-09,North,0,140.81,8.38,40.9,43,Male,4,0.5473748349543278,54.74,High
Fashion,111.39,0.0,1,COD,2024-07-08,2024-07-12,West,0,111.39,6.42,32.57,58,Female,4,0.5627587941365412,56.28,High
Home,156.95,0.0,1,Wallet,2025-02-27,2025-03-04,West,0,156.95,6.88,37.07,58,Male,5,0.5270662054811203,52.71,High
Electronics,291.67,0.1,1,Debit Card,2024-08-10,2024-08-14,West,1,262.5,7.03,24.47,37,Male,4,0.5886091061568721,58.86,High
Electronics,200.49,0.1,2,COD,2025-07-31,2025-08-04,West,0,360.88,8.39,34.92,47,Male,4,0.5748821304330911,57.49,High
Electronics,359.53,0.0,2,Credit Card,2024-07-02,2024-07-07,South,0,719.06,10.58,75.71,36,Female,5,0.5336243666022332,53.36,High
Fashion,30.1,0.0,1,Credit Card,2024-09-14,2024-09-17,North,0,30.1,4.22,6.32,48,Male,3,0.5497752982974312,54.98,High
Electronics,77.57,0.0,1,PayPal,2025-01-12,2025-01-17,South,0,77.57,7.05,2.26,29,Female,5,0.5010497987660932,50.1,High
Electronics,288.05,0.0,1,Debit Card,2024-11-13,2024-11-17,West,0,288.05,7.9,26.67,30,Female,4,0.5440471617630636,54.4,High
Electronics,227.77,0.1,1,Debit Card,2025-05-19,2025-05-25,South,0,204.99,9.08,15.52,19,Female,6,0.505993525273114,50.6,High
Fashion,59.99,0.0,1,Credit Card,2025-02-09,2025-02-15,North,0,59.99,6.96,14.04,23,Female,6,0.5606947291722753,56.07,High
Fashion,51.02,0.0,3,COD,2025-03-04,2025-03-10,East,0,153.06,6.24,47.33,26,Male,6,0.5207273101136609,52.07,High
Electronics,78.39,0.05,1,UPI,2024-05-22,2024-05-27,East,0,74.47,6.44,2.5,69,Male,5,0.5024723614140022,50.25,High
Fashion,12.83,0.0,1,COD,2023-09-28,2023-10-04,South,0,12.83,3.98,0.51,29,Female,6,0.5514486359107493,55.14,High
Home,157.03,0.1,3,PayPal,2023-12-20,2023-12-24,West,0,423.98,7.45,111.26,39,Female,4,0.5425169647819245,54.25,High
Electronics,405.15,0.0,1,Credit Card,2025-01-10,2025-01-16,East,0,405.15,8.54,40.08,41,Male,6,0.5654832151887521,56.55,High
Fashion,33.41,0.0,1,Debit Card,2025-01-12,2025-01-17,North,0,33.41,5.27,6.42,67,Male,5,0.601495641525241,60.15,High
Electronics,101.01,0.1,1,UPI,2025-01-08,2025-01-13,South,0,90.91,7.29,3.62,38,Female,5,0.5697198565428977,56.97,High
Home,104.23,0.0,1,Credit Card,2025-06-17,2025-06-22,East,0,104.23,7.6,21.58,45,Male,5,0.5017517576483945,50.18,High
Electronics,302.19,0.05,1,Debit Card,2024-03-09,2024-03-15,East,0,287.08,9.02,25.43,42,Female,6,0.5947453254368598,59.47,High
Sports,179.85,0.1,2,Debit Card,2025-05-29,2025-06-03,West,0,323.73,9.07,88.05,39,Other,5,0.5223462128857734,52.23,High
Fashion,23.1,0.0,1,UPI,2023-11-09,2023-11-14,North,0,23.1,5.96,2.13,57,Male,5,0.5889295510447079,58.89,High
Fashion,25.48,0.0,2,COD,2024-06-25,2024-06-29,North,0,50.96,4.87,12.97,42,Female,4,0.5612771428149701,56.13,High
Electronics,322.81,0.15,1,UPI,2024-04-13,2024-04-18,North,0,274.39,10.65,22.28,47,Male,5,0.541222664151851,54.12,High
Electronics,407.78,0.0,1,Credit Card,2025-06-12,2025-06-17,East,0,407.78,8.52,40.41,28,Female,5,0.556365895150049,55.64,High
Electronics,499.31,0.05,1,Debit Card,2023-11-30,2023-12-05,East,0,474.34,7.97,48.95,60,Male,5,0.5508521051696108,55.09,High
Fashion,44.99,0.0,1,UPI,2024-03-19,2024-03-26,South,0,44.99,6.17,9.58,67,Female,7,0.5559027992933284,55.59,High
Electronics,150.52,0.05,1,Credit Card,2024-11-24,2024-11-29,West,0,142.99,7.03,10.13,55,Male,5,0.5590779653310881,55.91,High
Electronics,411.4,0.0,1,UPI,2025-02-26,2025-03-02,North,0,411.4,9.03,40.34,29,Male,4,0.5375830035089906,53.76,High
Beauty,68.32,0.0,1,Wallet,2024-12-04,2024-12-07,North,1,68.32,6.16,24.58,69,Male,3,0.5353459948361019,53.53,High
Electronics,497.63,0.05,1,Debit Card,2024-06-20,2024-06-24,South,0,472.75,10.23,46.5,31,Female,4,0.6182005243802111,61.82,High
Fashion,85.01,0.0,1,UPI,2025-05-25,2025-05-31,East,0,85.01,5.36,24.39,68,Female,6,0.5495561571882515,54.96,High
Home,94.09,0.0,1,Debit Card,2024-03-15,2024-03-18,Central,0,94.09,6.62,19.73,36,Female,3,0.519960409509207,52.0,High
Fashion,66.81,0.15,3,COD,2024-03-29,2024-04-03,West,0,170.37,6.93,52.7,57,Female,5,0.5116752585687467,51.17,High
Fashion,43.19,0.05,1,PayPal,2023-10-13,2023-10-18,East,0,41.03,5.75,8.61,57,Female,5,0.5011353856115347,50.11,High
Electronics,365.71,0.2,2,COD,2025-08-16,2025-08-20,West,1,585.14,8.88,61.34,39,Male,4,0.5114241119754199,51.14,High
Fashion,12.29,0.0,1,UPI,2024-11-13,2024-11-17,South,0,12.29,2.83,1.47,30,Female,4,0.5278539158253807,52.79,High
Electronics,311.03,0.05,2,Credit Card,2024-03-16,2024-03-20,North,0,590.96,10.05,60.87,64,Male,4,0.5239097232022704,52.39,High
Fashion,38.95,0.0,1,UPI,2024-03-03,2024-03-08,West,0,38.95,4.31,9.32,52,Male,5,0.5534743592351322,55.35,High
Home,164.22,0.0,1,Debit Card,2024-05-28,2024-06-01,Central,0,164.22,8.05,37.93,28,Female,4,0.5121619343266202,51.22,High
Electronics,285.29,0.0,1,Credit Card,2025-08-19,2025-08-22,North,0,285.29,9.7,24.53,65,Female,3,0.5318401386413013,53.18,High
Fashion,90.21,0.05,2,Credit Card,2025-01-25,2025-01-29,North,0,171.4,7.43,52.56,34,Female,4,0.5181645367017594,51.82,High
Electronics,414.85,0.1,1,Credit Card,2024-05-14,2024-05-17,North,0,373.36,9.71,35.09,23,Male,3,0.5374905175954666,53.75,High
Fashion,53.63,0.05,1,Credit Card,2024-04-04,2024-04-08,North,0,50.95,6.13,11.7,59,Male,4,0.5847998975759046,58.48,High
Fashion,10.62,0.0,1,Debit Card,2023-11-25,2023-12-02,East,1,10.62,3.07,0.65,28,Female,7,0.5828710468587459,58.29,High
Fashion,35.77,0.0,1,UPI,2024-12-09,2024-12-15,East,0,35.77,6.82,5.7,36,Male,6,0.6195666517883598,61.96,High
Electronics,378.4,0.0,1,Debit Card,2025-03-16,2025-03-20,South,0,378.4,10.3,35.11,50,Female,4,0.5636999980195921,56.37,High
Electronics,275.03,0.0,1,Credit Card,2025-04-17,2025-04-22,North,0,275.03,10.5,22.5,30,Female,5,0.5191033745764062,51.91,High
Electronics,438.13,0.0,1,Debit Card,2024-07-13,2024-07-19,East,0,438.13,8.78,43.8,40,Female,6,0.5624669169008947,56.25,High
Electronics,575.37,0.05,1,UPI,2023-12-20,2023-12-23,North,0,546.6,9.93,55.66,49,Male,3,0.5737903347975071,57.38,High
Fashion,29.12,0.0,1,Debit Card,2024-05-19,2024-05-22,North,0,29.12,4.34,5.85,51,Female,3,0.5412192145531076,54.12,High
Fashion,17.59,0.0,2,COD,2024-09-16,2024-09-21,North,0,35.18,5.91,6.4,46,Female,5,0.6107662612986688,61.08,High
Home,109.15,0.1,2,COD,2025-04-20,2025-04-25,West,0,196.47,7.58,47.43,60,Female,5,0.5340431416149343,53.4,High
Home,236.96,0.0,1,PayPal,2024-03-17,2024-03-23,West,0,236.96,8.19,58.16,46,Female,6,0.5222304359275742,52.22,High
Fashion,12.34,0.0,1,Credit Card,2023-10-12,2023-10-17,Central,0,12.34,4.32,0.0,54,Other,5,0.5345477178591745,53.45,High
Fashion,150.72,0.05,1,Debit Card,2024-05-10,2024-05-15,West,0,143.18,6.85,43.26,57,Male,5,0.5582808401936701,55.83,High
Home,92.43,0.05,1,PayPal,2025-03-05,2025-03-08,Central,0,87.81,7.66,16.93,42,Male,3,0.5209718223085704,52.1,High
Home,187.07,0.0,1,Credit Card,2023-09-21,2023-09-26,Central,1,187.07,9.02,43.36,42,Female,5,0.5485971008485413,54.86,High
Electronics,344.04,0.0,1,Debit Card,2024-03-04,2024-03-08,Central,0,344.04,8.94,32.34,19,Male,4,0.5271302926633052,52.71,High
Home,137.2,0.0,1,Credit Card,2023-09-29,2023-10-04,East,0,137.2,7.11,31.31,43,Female,5,0.5101356039868419,51.01,High
Electronics,187.78,0.15,1,UPI,2024-01-17,2024-01-21,West,1,159.61,8.71,10.44,42,Male,4,0.5847542655193098,58.48,High
Electronics,311.42,0.05,1,PayPal,2024-05-11,2024-05-16,West,0,295.85,9.0,26.5,49,Male,5,0.5852441748346545,58.52,High
Home,209.4,0.0,1,Debit Card,2025-05-31,2025-06-04,North,0,209.4,7.62,51.01,58,Female,4,0.5033819133387315,50.34,High
Electronics,376.56,0.05,1,UPI,2025-02-18,2025-02-22,West,0,357.73,8.26,34.67,29,Male,4,0.5603589980553574,56.04,High
Home,270.3,0.05,1,Debit Card,2025-05-15,2025-05-20,West,0,256.79,8.25,63.65,55,Female,5,0.5585339537910747,55.85,High
Fashion,25.28,0.0,2,COD,2025-07-24,2025-07-27,North,0,50.56,6.8,10.9,53,Male,3,0.5665266480242548,56.65,High
Fashion,22.12,0.0,1,Credit Card,2024-06-17,2024-06-25,South,0,22.12,4.11,3.63,65,Male,8,0.5139199952764345,51.39,High
Home,179.87,0.0,1,COD,2025-07-22,2025-07-26,North,0,179.87,7.48,42.88,38,Male,4,0.5046286709733323,50.46,High
Fashion,13.95,0.05,1,Credit Card,2024-12-15,2024-12-20,South,0,13.25,4.08,0.56,42,Male,5,0.5448036463720394,54.48,High
Electronics,821.32,0.0,1,Debit Card,2025-02-18,2025-02-23,East,0,821.32,8.32,90.24,41,Male,5,0.5137040579280343,51.37,High
Electronics,520.69,0.0,1,PayPal,2024-05-08,2024-05-11,Central,0,520.69,8.24,54.24,48,Female,3,0.5317497823179083,53.17,High
Electronics,241.35,0.2,3,Credit Card,2023-11-26,2023-12-02,South,1,579.24,9.03,60.48,36,Female,6,0.56634466845531,56.63,High
Fashion,88.73,0.0,1,Debit Card,2024-09-04,2024-09-08,West,0,88.73,6.31,24.75,60,Male,4,0.5985358624518343,59.85,High
Fashion,16.6,0.15,1,Credit Card,2024-10-19,2024-10-26,East,0,14.11,3.5,1.44,24,Female,7,0.5590276912652883,55.9,High
Beauty,133.63,0.0,1,Credit Card,2025-02-16,2025-02-20,West,0,133.63,7.13,53.0,30,Female,4,0.5099909616042524,51.0,High
Fashion,63.69,0.0,1,COD,2025-02-22,2025-02-26,South,0,63.69,4.6,17.69,59,Male,4,0.5228220483944606,52.28,High
Electronics,495.4,0.1,1,Credit Card,2024-04-28,2024-05-02,West,0,445.86,9.26,44.24,48,Male,4,0.6228167331457064,62.28,High
Fashion,12.97,0.0,1,Credit Card,2024-07-17,2024-07-23,South,0,12.97,4.94,-0.4,32,Male,6,0.5189933481771551,51.9,High
Electronics,378.9,0.0,1,Wallet,2023-12-24,2023-12-29,South,0,378.9,7.97,37.5,60,Male,5,0.5401363537475046,54.01,High
Fashion,98.05,0.15,1,Credit Card,2024-06-17,2024-06-21,South,0,83.34,8.08,21.09,28,Male,4,0.5017144381137545,50.17,High
Fashion,23.37,0.0,1,Credit Card,2025-05-02,2025-05-05,North,0,23.37,3.84,4.34,62,Female,3,0.5522765011177784,55.23,High
Home,213.9,0.0,1,Debit Card,2024-06-03,2024-06-08,West,0,213.9,8.65,51.24,31,Female,5,0.5153298996223631,51.53,High
Home,90.31,0.0,1,Debit Card,2024-06-09,2024-06-13,West,1,90.31,7.08,18.21,62,Female,4,0.5241500648194443,52.42,High
Fashion,19.01,0.0,1,Debit Card,2024-10-12,2024-10-17,West,0,19.01,4.56,2.09,60,Male,5,0.5603250966748764,56.03,High
Electronics,409.97,0.15,1,Credit Card,2023-11-20,2023-11-24,West,0,348.47,10.0,31.82,36,Male,4,0.5918259406960038,59.18,High
Electronics,728.33,0.0,3,Debit Card,2023-11-24,2023-11-29,South,0,2184.99,11.07,251.13,55,Female,5,0.503146653909328,50.31,High
Fashion,27.13,0.0,1,UPI,2023-09-21,2023-09-27,North,0,27.13,4.73,4.77,36,Male,6,0.599488791965944,59.95,High
Electronics,933.62,0.1,1,COD,2024-05-23,2024-05-27,West,0,840.26,8.95,91.88,37,Male,4,0.5742334056692255,57.42,High
Fashion,38.34,0.0,1,UPI,2024-01-28,2024-02-03,West,0,38.34,6.39,7.03,51,Female,6,0.58131492655701,58.13,High
Fashion,18.58,0.15,1,UPI,2024-02-20,2024-02-27,South,0,15.79,3.87,1.66,41,Male,7,0.554410284224604,55.44,High
Electronics,460.29,0.1,2,COD,2024-02-20,2024-02-24,South,1,828.52,8.9,90.52,26,Female,4,0.5972440607175521,59.72,High
Fashion,144.92,0.0,1,COD,2024-03-13,2024-03-17,Central,0,144.92,8.31,42.41,68,Female,4,0.5261962549670272,52.62,High
Electronics,302.75,0.05,2,UPI,2023-10-12,2023-10-17,East,0,575.22,9.12,59.91,59,Female,5,0.571624563099867,57.16,High
Fashion,35.24,0.0,2,Credit Card,2025-06-13,2025-06-17,North,0,70.48,5.94,18.73,60,Female,4,0.5901286797520584,59.01,High
Sports,95.15,0.05,2,Credit Card,2025-05-09,2025-05-15,East,0,180.78,7.78,46.45,24,Male,6,0.5139290443385717,51.39,High
Fashion,13.42,0.0,1,Debit Card,2023-12-10,2023-12-15,South,0,13.42,4.88,-0.18,63,Male,5,0.5183567009313953,51.84,High
Fashion,124.58,0.0,1,Credit Card,2023-11-01,2023-11-05,South,0,124.58,7.48,36.12,31,Male,4,0.5562877628394246,55.63,High
Electronics,249.2,0.05,1,Debit Card,2025-02-04,2025-02-09,North,0,236.74,7.5,20.91,27,Male,5,0.5346513656108367,53.47,High
Electronics,78.48,0.0,2,Credit Card,2025-05-28,2025-06-02,South,0,156.96,8.16,10.68,61,Other,5,0.520461068127795,52.05,High
Electronics,485.97,0.0,1,Credit Card,2025-02-23,2025-02-28,East,0,485.97,9.88,48.44,64,Female,5,0.5583630751804417,55.84,High
Fashion,103.56,0.1,4,Debit Card,2025-04-22,2025-04-26,West,1,372.82,8.33,122.16,48,Female,4,0.6071474941058778,60.71,High
Fashion,15.8,0.1,1,Credit Card,2024-07-28,2024-08-03,East,0,14.22,3.84,1.14,69,Male,6,0.515769543857289,51.58,High
Home,256.11,0.05,1,PayPal,2024-03-26,2024-03-29,North,0,243.3,9.81,58.31,48,Male,3,0.547153864760798,54.72,High
Fashion,45.43,0.0,1,UPI,2024-03-25,2024-03-30,North,0,45.43,5.67,10.23,47,Male,5,0.5788309660548125,57.88,High
Home,235.81,0.0,1,Credit Card,2024-02-21,2024-02-25,South,0,235.81,9.24,56.79,55,Male,4,0.5260366810968321,52.6,High
Electronics,388.53,0.05,1,COD,2024-03-20,2024-03-27,East,0,369.1,9.12,35.17,35,Female,7,0.5277506689492603,52.78,High
Fashion,91.49,0.0,1,Debit Card,2024-08-16,2024-08-20,Central,0,91.49,7.61,24.41,38,Female,4,0.5822293019327567,58.22,High
Home,197.85,0.1,2,PayPal,2024-05-16,2024-05-20,North,0,356.13,9.94,89.78,30,Female,4,0.5138900949262827,51.39,High
Home,140.38,0.1,1,COD,2023-09-27,2023-10-02,Central,1,126.34,6.74,28.64,43,Male,5,0.5484556705042865,54.85,High
Electronics,296.17,0.0,1,Credit Card,2025-05-18,2025-05-22,Central,0,296.17,7.0,28.54,59,Male,4,0.5221419804628211,52.21,High
Fashion,58.04,0.0,1,Debit Card,2023-10-09,2023-10-12,North,0,58.04,6.38,13.93,55,Male,3,0.5682634212966665,56.83,High
